current,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc
71,949378,Jiri  Adamek,,,,Static Analysis of Component Systems Using Behavior Protocols,116--117,,2,"behavior protocols, software components",10.1145/949344.949378,,,,,,,2003,,"Companion of the 18th Annual ACM SIGPLAN Conference on Object-oriented Programming, Systems, Languages, and Applications",OOPSLA '03,,1-58113-751-6,"Anaheim, CA, USA",ACM,"New York, NY, USA"
72,1083302,Zarrin  Langari and Anne Banks Pidduck,,,,"Quality, Cleanroom and Formal Methods",1--5,,5,"cleanroom, formal methods, software quality",10.1145/1083292.1083302,,,,,,,2005,,Proceedings of the Third Workshop on Software Quality,3-WoSQ,,1-59593-122-8,"St. Louis, Missouri",ACM,"New York, NY, USA"
73,2110511,Rafael  Tolosana-Calasanz and Marco  Lackovic and Omer  F. Rana and Jos&#233; &#193;.  Ba&#241;ares and Domenico  Talia,,,,Characterizing Quality of Resilience in Scientific Workflows,117--126,,10,"quality of resilience, quality of service, scientific workflows",10.1145/2110497.2110511,,,,,,,2011,,Proceedings of the 6th Workshop on Workflows in Support of Large-scale Science,WORKS '11,,978-1-4503-1100-7,"Seattle, Washington, USA",ACM,"New York, NY, USA"
74,2000279,Kai  H&#246;fig and Dominik  Domis,,,,Failure-dependent Execution Time Analysis,115--122,,8,"fault trees, hard real time, reliability, safety, safety-critical software, worst-case execution time",10.1145/2000259.2000279,,,,,,,2011,,Proceedings of the Joint ACM SIGSOFT Conference -- QoSA and ACM SIGSOFT Symposium -- ISARCS on Quality of Software Architectures -- QoSA and Architecting Critical Systems -- ISARCS,QoSA-ISARCS '11,,978-1-4503-0724-6,"Boulder, Colorado, USA",ACM,"New York, NY, USA"
75,1007519,Cemal  Yilmaz and Myra B. Cohen and Adam  Porter,,,,Covering Arrays for Efficient Fault Characterization in Complex Configuration Spaces,45--54,,10,"covering arrays, distributed continuous quality assurance, fault characterization, software testing",10.1145/1013886.1007519,SIGSOFT Softw. Eng. Notes,4-Jul,29,4,,July,2004,0163-5948,,,,,,ACM,"New York, NY, USA"
76,2489335,Mariam  Lahami and Moez  Krichen and Mohamed  Jmaiel,,,,Runtime Testing Framework for Improving Quality in Dynamic Service-based Systems,17--24,,8,"Dynamic adaptations, OSGi-based applications, resource aware tests, runtime testing, test isolation",10.1145/2489300.2489335,,,,,,,2013,,Proceedings of the 2013 International Workshop on Quality Assurance for Service-based Applications,QASBA 2013,,978-1-4503-2182-2,"Lugano, Switzerland",ACM,"New York, NY, USA"
77,1890701,Yavuz  Sancar and Frank  Br&#252;seke and Stefan  Sauer and Gregor  Engels and Hendrik  Voigt,,,,Towards Economical Software Release Recommendations,9:1--9:8,9,8,"release criteria, software quality, test management, test metrics, test quality",10.1145/1890692.1890701,,,,,,,2010,,Proceedings of the 1st Workshop on Testing Object-Oriented Systems,ETOOS '10,,978-1-4503-0538-9,"Maribor, Slovenia",ACM,"New York, NY, USA"
78,2509539,Dongdong  Deng and Wei  Zhang and Shan  Lu,,,,Efficient Concurrency-bug Detection Across Inputs,785--802,,18,"bug detection, concurrency bugs, multi-threaded software, software testing",10.1145/2544173.2509539,SIGPLAN Not.,13-Oct,48,10,,October,2013,0362-1340,,,,,,ACM,"New York, NY, USA"
79,1247669,Veljko  Krunic and Eric  Trumpler and Richard  Han,,,,NodeMD: Diagnosing Node-level Faults in Remote Wireless Sensor Systems,43--56,,14,"deployment, diagnosis, software fault, wireless sensor networks",10.1145/1247660.1247669,,,,,,,2007,,"Proceedings of the 5th International Conference on Mobile Systems, Applications and Services",MobiSys '07,,978-1-59593-614-1,"San Juan, Puerto Rico",ACM,"New York, NY, USA"
80,1449803,Michael  Roberson and Melanie  Harries and Paul T. Darga and Chandrasekhar  Boyapati,,,,Efficient Software Model Checking of Soundness of Type Systems,493--504,,12,"software model checking, type soundness",10.1145/1449955.1449803,SIGPLAN Not.,8-Sep,43,10,,October,2008,0362-1340,,,,,,ACM,"New York, NY, USA"
81,1236404,Ram  Kumar and Eddie  Kohler and Mani  Srivastava,,,,Harbor: Software-based Memory Protection for Sensor Nodes,340--349,,10,"memory protection, software fault isolation",10.1145/1236360.1236404,,,,,,,2007,,Proceedings of the 6th International Conference on Information Processing in Sensor Networks,IPSN '07,,978-1-59593-638-7,"Cambridge, Massachusetts, USA",ACM,"New York, NY, USA"
82,1370113,Stefan  Biffl and Richard  Mordinyi and Thomas  Moser and Dindin  Wahyudin,,,,Ontology-supported Quality Assurance for Component-based Systems Configuration,59--64,,6,"component based software engineering, evaluation and improvement, ontology support for quality assurance, techniques for quality assurance",10.1145/1370099.1370113,,,,,,,2008,,Proceedings of the 6th International Workshop on Software Quality,WoSQ '08,,978-1-60558-023-4,"Leipzig, Germany",ACM,"New York, NY, USA"
83,1145337,Amit A. Phadke and Edward B. Allen,,,,Predicting Risky Modules in Open-source Software for High-performance Computing,60--64,,5,"C4.5, PETSc, decision trees, empirical case study, high performance computing, logistic regression, open-source software, software metrics, software quality model, software reliability",10.1145/1145319.1145337,,,,,,,2005,,Proceedings of the Second International Workshop on Software Engineering for High Performance Computing System Applications,SE-HPCS '05,,1-59593-117-1,"St. Louis, Missouri",ACM,"New York, NY, USA"
84,2507308,A.  Jalila and D.  Jeya Mala,,,,Empirical Evidence on OCL Formal Specification-based Metrics As a Predictor of Fault-proneness,1--10,,10,"OCL (Object Constraints Language), critical components, formal methods, formal specification, object model, object-oriented design metrics, specification, statistical methods",10.1145/2507288.2507308,SIGSOFT Softw. Eng. Notes,13-Sep,38,5,,August,2013,0163-5948,,,,,,ACM,"New York, NY, USA"
85,1272905,Danny  Kopec and Suzanne  Tamang,,,,"Failures in Complex Systems: Case Studies, Causes, and Possible Remedies",180--184,,5,"complex systems, human errors, medical errors, safety-critical systems, software bugs, software engineering, technical disasters",10.1145/1272848.1272905,SIGCSE Bull.,7-Jun,39,2,,June,2007,0097-8418,,,,,,ACM,"New York, NY, USA"
86,1062506,Audris  Mockus and Ping  Zhang and Paul Luo Li,,,,Predictors of Customer Perceived Software Quality,225--233,,9,"metrics, modeling, quality",10.1145/1062455.1062506,,,,,,,2005,,Proceedings of the 27th International Conference on Software Engineering,ICSE '05,,1-58113-963-2,"St. Louis, MO, USA",ACM,"New York, NY, USA"
87,2424566,Rut Torres Vargas and Ariadi  Nugroho and Michel  Chaudron and Joost  Visser,,,,The Use of UML Class Diagrams and Its Effect on Code Change-proneness,2:1--2:6,2,6,"code churn, quality, unified modeling language",10.1145/2424563.2424566,,,,,,,2012,,Proceedings of the Second Edition of the International Workshop on Experiences and Empirical Studies in Software Modelling,EESSMod '12,,978-1-4503-1811-2,"Innsbruck, Austria",ACM,"New York, NY, USA"
88,1390640,Il-Chul  Yoon and Alan  Sussman and Atif  Memon and Adam  Porter,,,,Effective and Scalable Software Compatibility Testing,63--74,,12,"component-based software system, software compatibility testing",10.1145/1390630.1390640,,,,,,,2008,,Proceedings of the 2008 International Symposium on Software Testing and Analysis,ISSTA '08,,978-1-60558-050-0,"Seattle, WA, USA",ACM,"New York, NY, USA"
89,1882304,Cemal  Yilmaz and Adam  Porter,,,,Combining Hardware and Software Instrumentation to Classify Program Executions,67--76,,10,"fault detection, hardware performance counters, software quality assurance",10.1145/1882291.1882304,,,,,,,2010,,Proceedings of the Eighteenth ACM SIGSOFT International Symposium on Foundations of Software Engineering,FSE '10,,978-1-60558-791-2,"Santa Fe, New Mexico, USA",ACM,"New York, NY, USA"
90,2025119,Christian  Bird and Nachiappan  Nagappan and Brendan  Murphy and Harald  Gall and Premkumar  Devanbu,,,,Don'T Touch My Code!: Examining the Effects of Ownership on Software Quality,4--14,,11,"emprical software engineering, expertise, ownership, quality",10.1145/2025113.2025119,,,,,,,2011,,Proceedings of the 19th ACM SIGSOFT Symposium and the 13th European Conference on Foundations of Software Engineering,ESEC/FSE '11,,978-1-4503-0443-6,"Szeged, Hungary",ACM,"New York, NY, USA"
91,1269049,Yan  Ma and Bojan  Cukic,,,,Adequate and Precise Evaluation of Quality Models in Software Engineering Studies,1--,,,,10.1109/PROMISE.2007.1,,,,,,,2007,,Proceedings of the Third International Workshop on Predictor Models in Software Engineering,PROMISE '07,,0-7695-2954-2,,IEEE Computer Society,"Washington, DC, USA"
92,1137716,Stefan  Wagner,,,,Modelling the Quality Economics of Defect-detection Techniques,69--74,,6,"defect-detection techniques, quality model, sensitivity analysis, software quality economics",10.1145/1137702.1137716,,,,,,,2006,,Proceedings of the 2006 International Workshop on Software Quality,WoSQ '06,,1-59593-399-9,"Shanghai, China",ACM,"New York, NY, USA"
93,1083285,Mark  Sherriff and Nachiappan  Nagappan and Laurie  Williams and Mladen  Vouk,,,,Early Estimation of Defect Density Using an In-process Haskell Metrics Model,1--6,,6,"empirical software engineering, haskell, multiple regression, software quality",10.1145/1082983.1083285,,,,,,,2005,,Proceedings of the 1st International Workshop on Advances in Model-based Testing,A-MOST '05,,1-59593-115-5,"St. Louis, Missouri",ACM,"New York, NY, USA"
94,1188910,Giuseppe  Di Fatta and Stefan  Leue and Evghenia  Stegantova,,,,Discriminative Pattern Mining in Software Fault Detection,62--69,,8,"automated debugging, fault isolation",10.1145/1188895.1188910,,,,,,,2006,,Proceedings of the 3rd International Workshop on Software Quality Assurance,SOQUA '06,,1-59593-584-3,"Portland, Oregon",ACM,"New York, NY, USA"
95,1985387,Bruno C. da Silva and Cl&#225;udio  Sant'Anna and Christina  Chavez,,,,Concern-based Cohesion As Change Proneness Indicator: An Initial Empirical Study,52--58,,7,"cohesion, empirical software engineering, software metrics",10.1145/1985374.1985387,,,,,,,2011,,Proceedings of the 2Nd International Workshop on Emerging Trends in Software Metrics,WETSoM '11,,978-1-4503-0593-8,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
96,1188906,Stefan  Wagner and Michael  Meisinger,,,,Integrating a Model of Analytical Quality Assurance into the V-Modell XT,38--45,,8,"V-Modell, process model, quality assurance, quality costs, quality model, software quality economics",10.1145/1188895.1188906,,,,,,,2006,,Proceedings of the 3rd International Workshop on Software Quality Assurance,SOQUA '06,,1-59593-584-3,"Portland, Oregon",ACM,"New York, NY, USA"
97,1086248,Jaswinder  Ahluwalia and Ingolf H. Kr&#252;ger and Walter  Phillips and Michael  Meisinger,,,,Model-based Run-time Monitoring of End-to-end Deadlines,100--109,,10,"RT CORBA, code generation, components, quality of service, runtime monitoring, service engineering, services",10.1145/1086228.1086248,,,,,,,2005,,Proceedings of the 5th ACM International Conference on Embedded Software,EMSOFT '05,,1-59593-091-4,"Jersey City, NJ, USA",ACM,"New York, NY, USA"
98,2509522,Suparna  Bhattacharya and Kanchi  Gopinath and Mangala Gowri Nanda,,,,Combining Concern Input with Program Analysis for Bloat Detection,745--764,,20,"feature oriented programming, program concerns, software bloat",10.1145/2544173.2509522,SIGPLAN Not.,13-Oct,48,10,,October,2013,0362-1340,,,,,,ACM,"New York, NY, USA"
99,1987882,Julio A. Hurtado Alegr&#237;a and Mar&#237;a Cecilia Bastarrica and Alexandre  Bergel,,,,Analyzing Software Process Models with AVISPA,23--32,,10,"model-driven engineering, quality assessment, software process models",10.1145/1987875.1987882,,,,,,,2011,,Proceedings of the 2011 International Conference on Software and Systems Process,ICSSP '11,,978-1-4503-0730-7,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
100,1295080,Thomas J. Ostrand and Elaine J. Weyuker,,,,How to Measure Success of Fault Prediction Models,25--30,,6,,10.1145/1295074.1295080,,,,,,,2007,,Fourth International Workshop on Software Quality Assurance: In Conjunction with the 6th ESEC/FSE Joint Meeting,SOQUA '07,,978-1-59593-724-7,"Dubrovnik, Croatia",ACM,"New York, NY, USA"
101,2493904,John D. McGregor,,,,Ecosystem Modeling and Analysis: A Tutorial,282--282,,1,"API, ecosystem, quality attribute, software system properties",10.1145/2491627.2493904,,,,,,,2013,,Proceedings of the 17th International Software Product Line Conference,SPLC '13,,978-1-4503-1968-3,"Tokyo, Japan",ACM,"New York, NY, USA"
102,1095262,Thomas J. Ostrand and Elaine J. Weyuker and Robert M. Bell,,,,Locating Where Faults Will Be,48--50,,3,"empirical study, fault-prone, prediction, regression model, software faults, software testing",10.1145/1095242.1095262,,,,,,,2005,,Proceedings of the 2005 Conference on Diversity in Computing,TAPIA '05,,1-59593-257-7,"Albuquerque, New Mexico, USA",ACM,"New York, NY, USA"
103,2365337,Tilmann  Hampp,,,,A Cost-benefit Model for Software Quality Assurance Activities,99--108,,10,"cost-benefit model, software quality assurance",10.1145/2365324.2365337,,,,,,,2012,,Proceedings of the 8th International Conference on Predictive Models in Software Engineering,PROMISE '12,,978-1-4503-1241-7,"Lund, Sweden",ACM,"New York, NY, USA"
104,1998617,Markus  Luckey and Christian  Gerth and Christian  Soltenborn and Gregor  Engels,,,,QUAASY: QUality Assurance of Adaptive SYstems,179--180,,2,"adaptive systems, analysis, design, quality assurance",10.1145/1998582.1998617,,,,,,,2011,,Proceedings of the 8th ACM International Conference on Autonomic Computing,ICAC '11,,978-1-4503-0607-2,"Karlsruhe, Germany",ACM,"New York, NY, USA"
105,1774116,Oliver  Hummel and Christof  Momm and Susan  Hickl,,,,Towards Quality-aware Development and Evolution of Enterprise Information Systems,137--144,,8,"enterprise information systems, software quality prediction",10.1145/1774088.1774116,,,,,,,2010,,Proceedings of the 2010 ACM Symposium on Applied Computing,SAC '10,,978-1-60558-639-7,"Sierre, Switzerland",ACM,"New York, NY, USA"
106,1852753,Tacksoo  Im and John D. McGregor,,,,Evaluating Confidence Levels for Security Scenarios in Attribute Architectures,76:1--76:4,76,4,"quality attribute, software architecture",10.1145/1852666.1852753,,,,,,,2010,,Proceedings of the Sixth Annual Workshop on Cyber Security and Information Intelligence Research,CSIIRW '10,,978-1-4503-0017-9,"Oak Ridge, Tennessee, USA",ACM,"New York, NY, USA"
107,2048159,Zef  Hemel and Eelco  Visser,,,,Mobl: The New Language of the Mobile Web,23--24,,2,"domain-specific language, mobile web, software development",10.1145/2048147.2048159,,,,,,,2011,,Proceedings of the ACM International Conference Companion on Object Oriented Programming Systems Languages and Applications Companion,OOPSLA '11,,978-1-4503-0942-4,"Portland, Oregon, USA",ACM,"New York, NY, USA"
108,1772659,Nassima  Izerrouken and Olivier Ssi Yan Kai and Marc  Pantel and Xavier  Thirioux,,,,Use of Formal Methods for Building Qualified Code Generator for Safer Automotive Systems,53--56,,4,"automatic code generator, automotive systems, certification, formal verification, software engineering",10.1145/1772643.1772659,,,,,,,2010,,Proceedings of the 1st Workshop on Critical Automotive Applications: Robustness &#38; Safety,CARS '10,,978-1-60558-915-2,"Valencia, Spain",ACM,"New York, NY, USA"
109,2024443,Brady J. Garvin and Myra B. Cohen and Matthew B. Dwyer,,,,Using Feature Locality: Can We Leverage History to Avoid Failures During Reconfiguration?,24--33,,10,"highly-configurable systems, self-adaptive software",10.1145/2024436.2024443,,,,,,,2011,,Proceedings of the 8th Workshop on Assurances for Self-adaptive Systems,ASAS '11,,978-1-4503-0853-3,"Szeged, Hungary",ACM,"New York, NY, USA"
110,1810393,Ana Erika Camargo Cruz,,,,Exploratory Study of a UML Metric for Fault Prediction,361--364,,4,"CK metrics, UML, fault-prone code, fault-proneness prediction, logistic regression",10.1145/1810295.1810393,,,,,,,2010,,Proceedings of the 32Nd ACM/IEEE International Conference on Software Engineering - Volume 2,ICSE '10,,978-1-60558-719-6,"Cape Town, South Africa",ACM,"New York, NY, USA"
